iter	RMSE
0	41.12393845
1	39.98866666
2	38.93921099
3	37.91971492
4	36.87337161
5	35.8653175
6	34.98793165
7	34.22846912
8	33.28403066
9	32.36177635
10	31.53024913
11	30.74669015
12	29.93452639
13	29.24078283
14	28.47142131
15	27.76668098
16	27.08139783
17	26.42473407
18	25.79199094
19	25.18241366
20	24.58371332
21	24.02957268
22	23.48242511
23	23.01703444
24	22.50574562
25	22.03530287
26	21.5716366
27	21.13577954
28	20.68747827
29	20.21352798
30	19.79498638
31	19.37609881
32	19.01896101
33	18.6234788
34	18.27746197
35	17.99191699
36	17.66537153
37	17.35416254
38	17.03926329
39	16.76091962
40	16.48429408
41	16.23586576
42	15.99777869
43	15.79167461
44	15.58142625
45	15.36234356
46	15.15608755
47	14.97727091
48	14.78527279
49	14.61282668
50	14.44479539
51	14.28171812
52	14.13666682
53	13.97460525
54	13.8046358
55	13.65206387
56	13.51955039
57	13.39165524
58	13.26622521
59	13.14125732
60	13.02277076
61	12.8892034
62	12.76857838
63	12.66567206
64	12.57734191
65	12.47659662
66	12.37249812
67	12.28449155
68	12.20559509
69	12.12341806
70	12.0363783
71	11.96379477
72	11.89650036
73	11.8272014
74	11.75017045
75	11.68946468
76	11.62257155
77	11.55724467
78	11.49027948
79	11.43730805
80	11.39433769
81	11.33542969
82	11.28013747
83	11.23890232
84	11.18923108
85	11.14575981
86	11.09861951
87	11.05807455
88	11.01353003
89	10.98089107
90	10.94516518
91	10.9022878
92	10.86747964
93	10.82832082
94	10.7919924
95	10.75515667
96	10.7294634
97	10.6957371
98	10.66426414
99	10.63539619
100	10.60629055
101	10.57316823
102	10.54564927
103	10.51861772
104	10.48892164
105	10.45933612
106	10.43987358
107	10.41420979
108	10.39503597
109	10.37425772
110	10.35425648
111	10.33649713
112	10.31794225
113	10.29829526
114	10.27700276
115	10.25707399
116	10.23727191
117	10.21924378
118	10.20578418
119	10.18859743
120	10.17098642
121	10.16786171
122	10.15318612
123	10.13618094
124	10.11986616
125	10.10566287
126	10.09230874
127	10.08212232
128	10.07442019
129	10.05732097
130	10.0446249
131	10.0332434
132	10.02141961
133	10.0072723
134	9.991061931
135	9.976068692
136	9.962606376
137	9.949104042
138	9.936095226
139	9.922369931
140	9.911613882
141	9.900697585
142	9.891605103
143	9.877651495
144	9.860257963
145	9.851888789
146	9.838605921
147	9.828935256
148	9.82101974
149	9.809553271
150	9.796149282
151	9.787818855
152	9.77810313
153	9.767863367
154	9.757952437
155	9.752289161
156	9.748430926
157	9.737483323
158	9.732930465
159	9.726658597
160	9.717551796
161	9.708014383
162	9.697237545
163	9.691417771
164	9.681395395
165	9.677044311
166	9.670893346
167	9.666771762
168	9.658781136
169	9.653508721
170	9.644593777
171	9.636640749
172	9.630247741
173	9.622177637
174	9.616473184
175	9.60820653
176	9.59816197
177	9.586819931
178	9.585458553
179	9.578950853
180	9.572620295
181	9.565717263
182	9.559620349
183	9.549607823
184	9.545224621
185	9.538639449
186	9.530024968
187	9.525161061
188	9.518543114
189	9.508426713
190	9.50773923
191	9.50008648
192	9.492276443
193	9.485171455
194	9.479516081
195	9.474819345
196	9.472716054
197	9.467838701
198	9.460241265
199	9.453834783
200	9.450402119
201	9.44616837
202	9.442144919
203	9.435425543
204	9.432542742
205	9.42691235
206	9.419796166
207	9.411848521
208	9.403164751
209	9.399109635
210	9.390015313
211	9.379994449
212	9.372858416
213	9.367162646
214	9.360716137
215	9.356497974
216	9.350410265
217	9.344920089
218	9.339220995
219	9.335673379
220	9.32683512
221	9.323631108
222	9.322149241
223	9.316885948
224	9.311739297
225	9.305291914
226	9.299984129
227	9.29408455
228	9.29050751
229	9.285171494
230	9.278530214
